x,y
106.876,19.448
107.044,19.432
107.212,19.416
107.38,19.399
107.547,19.382
107.715,19.365
107.882,19.347
108.049,19.329
108.215,19.31
108.382,19.291
108.548,19.272
108.714,19.253
108.879,19.233
109.045,19.212
109.21,19.192
109.375,19.17
109.54,19.149
109.704,19.127
109.869,19.105
110.033,19.082
110.196,19.06
110.36,19.036
110.524,19.013
110.687,18.989
110.85,18.964
111.012,18.939
111.175,18.914
111.337,18.889
111.499,18.863
111.661,18.837
111.823,18.81
111.984,18.783
112.146,18.756
112.307,18.728
112.467,18.7
112.628,18.671
112.788,18.643
112.949,18.613
113.109,18.584
113.268,18.554
113.428,18.524
113.587,18.493
113.746,18.462
113.905,18.431
114.064,18.399
114.223,18.367
114.381,18.334
114.539,18.301
114.697,18.268
114.855,18.235
115.012,18.201
115.17,18.166
115.327,18.132
115.484,18.097
115.64,18.061
115.797,18.026
115.953,17.989
116.109,17.953
116.265,17.916
116.421,17.879
116.577,17.841
116.732,17.803
116.887,17.765
117.042,17.726
117.197,17.687
117.352,17.648
117.506,17.608
117.66,17.568
117.814,17.527
117.968,17.486
118.122,17.445
118.275,17.404
118.429,17.362
118.582,17.319
118.735,17.277
118.887,17.234
119.04,17.19
119.192,17.146
119.345,17.102
119.497,17.058
119.649,17.013
119.8,16.968
119.952,16.922
120.103,16.876
120.254,16.83
120.405,16.783
120.556,16.736
120.707,16.689
120.857,16.641
121.007,16.593
121.157,16.544
121.307,16.496
121.457,16.446
121.607,16.397
121.756,16.347
121.905,16.297
122.054,16.246
122.203,16.195
122.352,16.144
122.501,16.092
122.649,16.04
122.797,15.988
122.945,15.935
123.093,15.882
123.241,15.828
123.389,15.774
123.536,15.72
123.683,15.666
123.83,15.611
123.977,15.555
124.124,15.5
124.271,15.444
124.417,15.387
124.564,15.331
124.71,15.274
124.856,15.216
125.001,15.159
125.147,15.1
125.293,15.042
125.438,14.983
125.583,14.924
125.728,14.865
125.873,14.805
126.018,14.744
126.162,14.684
126.307,14.623
126.451,14.562
126.595,14.5
126.739,14.438
126.883,14.376
127.027,14.313
127.17,14.25
127.314,14.187
127.457,14.123
127.6,14.059
127.743,13.994
127.886,13.929
128.028,13.864
128.171,13.799
128.313,13.733
128.455,13.667
128.597,13.6
128.739,13.533
128.881,13.466
129.023,13.399
129.164,13.331
129.305,13.262
129.447,13.194
129.588,13.125
129.729,13.055
129.869,12.986
130.01,12.916
130.15,12.845
130.291,12.775
130.431,12.704
130.571,12.632
130.711,12.561
130.851,12.488
130.99,12.416
131.13,12.343
131.269,12.27
131.409,12.197
131.548,12.123
131.687,12.049
131.826,11.974
131.964,11.899
132.103,11.824
132.241,11.749
132.38,11.673
132.518,11.597
132.656,11.52
132.794,11.443
132.932,11.366
133.069,11.289
133.207,11.211
133.344,11.133
133.481,11.054
133.619,10.975
133.756,10.896
133.893,10.816
134.029,10.736
134.166,10.656
134.302,10.576
134.439,10.495
134.575,10.413
134.711,10.332
134.847,10.25
134.983,10.168
135.119,10.085
135.255,10.002
135.39,9.919
135.525,9.835
135.661,9.751
135.796,9.667
135.931,9.582
136.066,9.498
136.201,9.412
136.335,9.327
136.47,9.241
136.604,9.155
136.739,9.068
136.873,8.981
137.007,8.894
137.141,8.806
137.275,8.718
137.408,8.63
137.542,8.542
137.675,8.453
137.809,8.363
137.942,8.274
138.075,8.184
138.208,8.094
138.341,8.003
138.474,7.913
138.607,7.821
138.739,7.73
138.872,7.638
139.004,7.546
139.136,7.453
139.268,7.361
139.4,7.267
139.532,7.174
139.664,7.08
139.796,6.986
139.927,6.892
140.059,6.797
140.19,6.702
140.321,6.607
140.453,6.511
140.584,6.415
140.715,6.319
140.845,6.222
140.976,6.125
141.107,6.028
141.237,5.93
141.368,5.832
141.498,5.734
141.628,5.635
141.758,5.537
141.888,5.437
142.018,5.338
142.148,5.238
142.277,5.138
142.407,5.037
142.536,4.937
142.666,4.836
142.795,4.734
142.924,4.633
143.053,4.531
143.182,4.428
143.311,4.326
143.44,4.223
143.568,4.119
143.697,4.016
143.825,3.912
143.954,3.808
144.082,3.703
144.21,3.598
144.338,3.493
144.466,3.388
144.594,3.282
144.722,3.176
144.85,3.07
144.977,2.963
145.105,2.856
145.232,2.749
145.359,2.641
145.486,2.533
145.614,2.425
145.741,2.317
145.868,2.208
145.994,2.099
146.121,1.989
146.248,1.88
146.374,1.77
146.501,1.659
146.627,1.549
146.753,1.438
146.88,1.327
147.006,1.215
147.132,1.103
147.258,0.991
147.383,0.879
147.509,0.767
147.634,0.655
147.76,0.543
147.885,0.431
148.009,0.32
148.134,0.208
148.258,0.097
148.383,-0.014
148.42,0.533
148.457,0.567
148.494,0.6
148.53,0.633
148.567,0.666
148.603,0.699
148.639,0.731
148.675,0.764
148.71,0.796
148.746,0.828
148.781,0.86
148.816,0.891
148.851,0.923
148.885,0.954
148.92,0.985
148.954,1.016
148.988,1.047
149.022,1.077
149.056,1.106
149.09,1.135
149.123,1.164
149.157,1.192
149.191,1.219
149.225,1.246
149.258,1.272
149.292,1.298
149.326,1.323
149.359,1.348
149.393,1.372
149.426,1.395
149.46,1.418
149.493,1.441
149.527,1.462
149.56,1.484
149.593,1.505
149.627,1.525
149.66,1.544
149.693,1.564
149.726,1.582
149.759,1.6
149.793,1.618
149.826,1.635
149.859,1.651
149.892,1.667
149.925,1.682
149.958,1.697
149.991,1.711
150.024,1.725
150.057,1.738
150.09,1.75
150.122,1.762
150.155,1.774
150.188,1.785
150.221,1.795
150.254,1.805
150.286,1.814
150.319,1.823
150.352,1.831
150.384,1.839
150.417,1.846
150.45,1.852
150.482,1.858
150.515,1.864
150.547,1.869
150.58,1.873
150.612,1.877
150.645,1.88
150.677,1.883
150.71,1.885
150.742,1.887
150.774,1.888
150.807,1.888
150.839,1.888
150.871,1.888
150.904,1.887
150.936,1.885
150.968,1.883
151.0,1.88
151.033,1.877
151.065,1.873
151.097,1.869
151.129,1.864
151.161,1.859
151.193,1.853
151.225,1.846
151.257,1.839
151.29,1.832
151.322,1.824
151.354,1.815
151.386,1.806
151.418,1.796
151.449,1.786
151.481,1.775
151.513,1.764
151.545,1.752
151.577,1.74
151.609,1.727
151.641,1.713
151.673,1.699
151.704,1.685
151.736,1.67
151.768,1.654
151.8,1.638
151.831,1.621
151.863,1.604
151.895,1.586
151.927,1.568
151.958,1.549
151.99,1.53
152.022,1.51
152.053,1.489
152.085,1.468
152.116,1.447
152.148,1.425
152.179,1.402
152.211,1.379
152.243,1.355
152.274,1.331
152.306,1.306
152.337,1.281
152.369,1.255
152.4,1.229
152.431,1.202
152.463,1.175
152.494,1.147
152.526,1.118
152.557,1.089
152.588,1.06
152.62,1.03
152.651,0.999
152.682,0.968
152.714,0.937
152.745,0.906
152.775,0.876
152.806,0.845
152.836,0.815
152.866,0.785
152.896,0.756
152.926,0.726
152.956,0.697
152.985,0.667
153.014,0.638
153.043,0.61
153.072,0.581
153.101,0.553
153.129,0.524
153.157,0.496
153.185,0.469
153.213,0.441
153.241,0.414
153.268,0.386
153.295,0.359
153.322,0.332
153.349,0.306
153.376,0.279
153.402,0.253
153.428,0.227
153.454,0.201
153.48,0.176
153.506,0.15
153.531,0.125
153.557,0.1
153.582,0.075
153.606,0.05
153.631,0.026
153.656,0.001
153.68,-0.023
153.687,0.507
153.694,0.515
153.701,0.522
153.708,0.529
153.714,0.536
153.721,0.542
153.727,0.549
153.733,0.555
153.739,0.561
153.744,0.567
153.749,0.573
153.755,0.578
153.76,0.583
153.767,0.0
